text,toxic,severe_toxic,obscene,threat,insult,identity_hate
"ds rcnfnb ghjt,fkb e;t",0.046061195,0.0011215525,0.008856571,0.0020654977,0.020765772,0.0031680234
nice igraesh,0.0807461,0.0019289559,0.016207516,0.0035876231,0.03574674,0.0052063293
guys,0.21981758,0.0045393645,0.050094783,0.008440393,0.09238109,0.012896893
so good game,0.01804322,0.0005073816,0.0032704636,0.00090637093,0.008420993,0.0014484401
3 griefers on my team,0.044683516,0.0011320977,0.008597206,0.0020949815,0.020304225,0.0031467825
3 griefers vs ti finals tryhards,0.028181149,0.00074184017,0.0052752625,0.0013374934,0.012977793,0.0020804836
yes,0.028752252,0.0007042586,0.005334813,0.0012534251,0.012818264,0.002039046
good game was had,0.01804322,0.0005073816,0.0032704636,0.00090637093,0.008420993,0.0014484401
WELL PLAYED SHIT CUNTS,0.9590886,0.08633852,0.7846537,0.033262018,0.6581903,0.09394428
happy no cour day ,0.07408959,0.0015964563,0.014250457,0.003009997,0.03194169,0.0046816734
go bot,0.07467651,0.0018585632,0.014962597,0.0035058698,0.033591487,0.004987345
sure,0.023081956,0.0005797874,0.004219411,0.0010149117,0.010377349,0.0016864158
please dont be a trap,0.26498502,0.005408098,0.062317103,0.010103036,0.11186414,0.01560705
lol,0.20061268,0.004136279,0.044791315,0.007656837,0.08456356,0.011706236
ok,0.031841904,0.0007757602,0.0059258197,0.001389008,0.014271473,0.0022270796
Nice deni,0.0807461,0.001928955,0.016207524,0.0035876245,0.035746753,0.0052063293
for farming a lot,0.051986933,0.0012290681,0.010077682,0.0022577744,0.023022283,0.0034864414
ya hohol,0.34368503,0.0070556025,0.08772087,0.013067937,0.14724867,0.020509532
ya hohol,0.34368503,0.0070556025,0.08772087,0.013067937,0.14724867,0.020509532
proper cunts,0.034648962,0.00088469696,0.006564535,0.0016052497,0.015851453,0.0024948132
THIS GAME,0.023195935,0.00062788004,0.004334374,0.0011304688,0.010886897,0.0017849513
FUCKING,0.9937171,0.27618754,0.96227187,0.04141143,0.855975,0.1455476
LOST,0.073084906,0.0018002182,0.014532854,0.0033778786,0.032552443,0.0048377225
CAUSE FO FUCKING HG,0.9915992,0.22065584,0.9492823,0.03771301,0.8334655,0.13255006
DIE ,0.837725,0.03685879,0.45432827,0.030076047,0.43734103,0.06361795
team,0.044683516,0.0011320977,0.008597206,0.0020949815,0.020304225,0.0031467825
gg end,0.029429328,0.0007606761,0.005545208,0.0013747999,0.013465722,0.002155968
did my job but still getting flame hard game XD,0.015898079,0.0004654069,0.0028823635,0.0008347684,0.007584717,0.0013245462
so lucky 2k archons,0.1989698,0.0041037607,0.04438315,0.0076296795,0.08429066,0.011592062
u did your job are u fulcking kidding me ?,0.77876157,0.028243339,0.35810742,0.029698547,0.38049793,0.055650778
u wouldhave hit the throne u jebaited 2k,0.7750044,0.02884855,0.35998031,0.030342877,0.3772836,0.05744103
gg wp guys,0.13643539,0.002678456,0.027908573,0.005035994,0.056410097,0.007973517
cant beleive we lsoe this ,0.13483076,0.0029300498,0.028457377,0.0054892483,0.0577073,0.008167694
"and please, don't fight, just play and be happy.",0.049392473,0.0011104759,0.00909116,0.0020322052,0.020707538,0.003278631
fuck off lol,0.99123645,0.23448214,0.9505696,0.038855083,0.830227,0.13611138
kill mi i mid :V,0.81762075,0.023183737,0.42166683,0.018736877,0.3940458,0.04876859
gg wp ,0.056057423,0.0013454938,0.010955856,0.0024915566,0.0250085,0.0037742103
OK,0.03184188,0.00077575946,0.0059258146,0.0013890073,0.014271466,0.0022270787
OK,0.031841904,0.0007757602,0.0059258197,0.001389008,0.014271473,0.0022270796
STRAIGHT,0.08174731,0.0019258363,0.016418811,0.0036187253,0.036163777,0.005327607
stupid medusa,0.9664717,0.1080687,0.8140112,0.03737418,0.6831227,0.10387104
FUCKING MEDUSA,0.9937171,0.2761875,0.96227187,0.04141143,0.855975,0.14554755
NICE,0.0807461,0.001928955,0.016207524,0.0035876245,0.035746753,0.0052063293
ASSHOLE,0.9903632,0.2228299,0.94270295,0.040698063,0.8213948,0.13565098
this game,0.023195935,0.00062788004,0.004334374,0.0011304688,0.010886897,0.0017849513
will be a year ender,0.060084917,0.0014839923,0.011871431,0.0027614448,0.026971376,0.0040958133
this will be the last game played in 2017,0.02124889,0.00059229514,0.003887659,0.0010873626,0.01003847,0.0017095935
and i got 500 ping,0.15660162,0.0033931725,0.03397745,0.006359297,0.06723886,0.009528487
happy new year,0.020772628,0.00057943055,0.00376876,0.0010505575,0.00962989,0.0016886836
happy new year,0.020772628,0.00057943055,0.00376876,0.0010505575,0.00962989,0.0016886836
FCK U,0.67093396,0.018659336,0.25525224,0.023428755,0.30667442,0.043189876
happy new year,0.020772628,0.00057943055,0.00376876,0.0010505575,0.00962989,0.0016886836
what a luck,0.028798567,0.00077017467,0.00547245,0.0013991884,0.013391664,0.0021748038
yuou just fuck your ulti as hell,0.9943059,0.3254992,0.9677838,0.05149797,0.8693375,0.1707877
LOL I WAS DIENG SO?,0.20061275,0.0041362774,0.044791296,0.0076568406,0.08456356,0.011706231
wp ,0.05605745,0.0013454944,0.010955856,0.0024915566,0.025008509,0.0037742087
help report wind ty,0.017109293,0.00048602113,0.003158405,0.00086546794,0.0080612665,0.0014040525
4 heros were stick,0.40411326,0.008334876,0.11041129,0.015416249,0.17697123,0.02490388
lol,0.20061275,0.0041362774,0.044791296,0.0076568406,0.08456356,0.011706231
gg wp ,0.056057423,0.0013454938,0.010955856,0.0024915566,0.0250085,0.0037742103
help reprt wind,0.01764329,0.0004925806,0.003277374,0.0008728256,0.008347545,0.0014088296
? lol,0.20061275,0.0041362774,0.044791296,0.0076568406,0.08456356,0.011706231
all report tinker,0.050478917,0.0012775334,0.0099045,0.0023525804,0.02294594,0.0034952727
that team,0.044683516,0.0011320977,0.008597206,0.0020949815,0.020304225,0.0031467825
lol,0.20061275,0.0041362774,0.044791296,0.0076568406,0.08456356,0.011706231
:D,0.093278855,0.0021693902,0.018928828,0.0041391933,0.041258473,0.005984206
REPORT,0.050478917,0.0012775334,0.0099045,0.0023525804,0.02294594,0.0034952727
gg wp ,0.056057423,0.0013454938,0.010955856,0.0024915566,0.0250085,0.0037742103
3 VS 5,0.028181149,0.00074184017,0.0052752625,0.0013374934,0.012977793,0.0020804836
because u have blink ,0.67093396,0.018659336,0.25525224,0.023428755,0.30667442,0.043189876
L O L,0.09884233,0.0022135274,0.019695234,0.004229952,0.042689078,0.0062375017
BITCH,0.9915701,0.24003965,0.95014805,0.041062884,0.8334701,0.13930638
rude,0.5020463,0.010984181,0.15348117,0.018461673,0.22297722,0.031612664
cool,0.03522041,0.0009072972,0.0067275697,0.0016462408,0.01609856,0.0025220083
"this is kotl from last game, can you just let us finish?",0.020868119,0.0005805948,0.0038414106,0.0010525465,0.0097890375,0.0016690642
yeah,0.10624769,0.0023848314,0.02194174,0.0044376925,0.045944843,0.006621029
fair is fair,0.012378432,0.0003398243,0.00225399,0.00058028416,0.005724691,0.001027037
lmaoooo hi kotl,0.025902377,0.00068309053,0.004818244,0.0012237285,0.011925373,0.0019491897
lol,0.20061275,0.0041362774,0.044791296,0.0076568406,0.08456356,0.011706231
report ss,0.050478917,0.0012775334,0.0099045,0.0023525804,0.02294594,0.0034952727
lol,0.20061275,0.0041362774,0.044791296,0.0076568406,0.08456356,0.011706231
end,0.029429328,0.0007606761,0.005545208,0.0013747999,0.013465722,0.002155968
can't win with wr support and invoker offlane,0.022880357,0.00059995026,0.0041797445,0.0010593609,0.01024484,0.0017258025
report this invoker,0.050478917,0.0012775334,0.0099045,0.0023525804,0.02294594,0.0034952727
end fast,0.029429328,0.0007606761,0.005545208,0.0013747999,0.013465722,0.002155968
SLOW HAND TINKER,0.07524877,0.0017811727,0.015042509,0.003321951,0.033257764,0.0048996718
U CAN,0.67093396,0.018659336,0.25525224,0.023428755,0.30667442,0.043189876
die idoot,0.837725,0.03685879,0.45432827,0.030076047,0.43734103,0.06361795
divine for the win,0.07345911,0.0017830321,0.014540272,0.0033891534,0.03304672,0.004907361
fucker,0.9912764,0.23685591,0.94769496,0.04176073,0.8306755,0.139062
go end,0.029429328,0.0007606761,0.005545208,0.0013747999,0.013465722,0.002155968
so sad,0.24720964,0.005081956,0.057839666,0.009451371,0.10427036,0.014501828
rep[ort jugg,0.050478917,0.0012775334,0.0099045,0.0023525804,0.02294594,0.0034952727
end,0.029429346,0.00076067646,0.005545208,0.0013747999,0.013465729,0.0021559699
it definitely is gg,0.01978984,0.00045227705,0.0035307119,0.000771927,0.008475756,0.0013621217
talking more,0.05465091,0.0013351357,0.010762284,0.0024668246,0.024479426,0.0036847198
ez dog,0.4216824,0.008785381,0.1189042,0.016132804,0.18541992,0.026333502
HI,0.025902377,0.00068309053,0.004818244,0.0012237285,0.011925373,0.0019491897
hi,0.025902377,0.00068309053,0.004818244,0.0012237285,0.011925373,0.0019491897
LOL,0.20061275,0.0041362774,0.044791296,0.0076568406,0.08456356,0.011706231
lol,0.20061275,0.0041362774,0.044791296,0.0076568406,0.08456356,0.011706231
RUN,0.0964942,0.0022600375,0.01983335,0.0043064114,0.04279065,0.0062154047
gg wp,0.056057423,0.0013454938,0.010955856,0.0024915566,0.0250085,0.0037742103
come on try harder,0.22507475,0.0043392205,0.050569832,0.008161987,0.0926792,0.013030262
W8,0.06818959,0.0016996533,0.013475412,0.0032215945,0.030912595,0.0045941975
as you can see we are waiting ,0.047303785,0.001170864,0.009152997,0.002142298,0.021257307,0.003239769
:D,0.093278855,0.0021693902,0.018928828,0.0041391933,0.041258473,0.005984206
I am just asking what happened,0.024181902,0.00068172213,0.004466276,0.0012680461,0.011510471,0.0019486118
and we wait 5 for now ,0.054576132,0.0013506571,0.010627814,0.0025013671,0.024540495,0.0037378555
how many more x3 mins do we have to wait,0.02854396,0.00077318156,0.0053360024,0.0014181614,0.013176487,0.0022005287
:D,0.093278855,0.0021693902,0.018928828,0.0041391933,0.041258473,0.005984206
you don't know how time works,0.036830492,0.0007504949,0.006852148,0.0012651935,0.014534767,0.002220147
guys i think we wait too much ,0.09168602,0.0019490506,0.018220231,0.0035412093,0.038143314,0.0056969356
look,0.10835677,0.0024264767,0.022588475,0.00453944,0.047065385,0.0067116055
i know its your fr but ,0.073754996,0.0017420588,0.014772342,0.003261124,0.0327226,0.0048069297
i dont want to sleep here :D ,0.19187997,0.0038291588,0.042103015,0.007253209,0.08020296,0.011433518
:D,0.093278855,0.0021693902,0.018928828,0.0041391933,0.041258473,0.005984206
oh why u wake me up,0.6759759,0.019054126,0.25807497,0.024353819,0.31110573,0.04430679
its our midlaner lol,0.20061275,0.0041362774,0.044791296,0.0076568406,0.08456356,0.011706231
gg guys,0.21981758,0.0045393645,0.050094783,0.008440393,0.09238109,0.012896893
that was more lucky than ur kill 😂:D,0.94978625,0.08914989,0.7371986,0.040807042,0.62749046,0.09934898
:D,0.093278855,0.0021693902,0.018928828,0.0041391933,0.041258473,0.005984206
we aren't playing hide and seek !,0.051843606,0.0012689577,0.00993352,0.0023573025,0.022807624,0.0036070822
naah we ain't,0.139917,0.0030123733,0.029784853,0.0056762397,0.060120467,0.0085201645
:D,0.093278855,0.0021693902,0.018928828,0.0041391933,0.041258473,0.005984206
u see this fair ?,0.26892146,0.0036150445,0.059401292,0.006105193,0.09552499,0.012522936
bro just quit :D ,0.2903112,0.005486331,0.069513544,0.010176366,0.12101333,0.016749023
shame :D,0.43476084,0.008426302,0.1235686,0.01531726,0.190464,0.0265509
gg wp,0.056057423,0.0013454938,0.010955856,0.0024915566,0.0250085,0.0037742103
gg wp,0.056057423,0.0013454938,0.010955856,0.0024915566,0.0250085,0.0037742103
u mad?,0.67093396,0.018659336,0.25525224,0.023428755,0.30667442,0.043189876
lol,0.20061275,0.0041362774,0.044791296,0.0076568406,0.08456356,0.011706231
report sf and lycan,0.050478917,0.0012775334,0.0099045,0.0023525804,0.02294594,0.0034952727
retard take lycan for hard ,0.11734471,0.0026460977,0.024072802,0.0050394954,0.05104586,0.007294514
second rtard lose lane with help,0.02002406,0.00053605536,0.0036284504,0.0009685317,0.009070214,0.00159642
just end,0.029429328,0.0007606761,0.005545208,0.0013747999,0.013465722,0.002155968
dont forget report lycan and sf,0.03544383,0.00081496517,0.0065536103,0.001434111,0.015111803,0.0024250515
next game can come to yours team,0.066284716,0.0013518797,0.012086588,0.0025149586,0.026807537,0.0042311996
10k,0.1989698,0.0041037607,0.04438315,0.0076296795,0.08429066,0.011592062
end,0.029429328,0.0007606761,0.005545208,0.0013747999,0.013465722,0.002155968
im afk,0.38642308,0.007959555,0.10321691,0.014847389,0.16791533,0.023720713
dont def,0.264985,0.0054081003,0.062317133,0.01010304,0.111864164,0.015607057
k,0.1989698,0.0041037607,0.04438315,0.0076296795,0.08429066,0.011592062
going,0.19507271,0.0041450686,0.043603584,0.007852252,0.08292354,0.011748049
:X,0.041723415,0.0010305591,0.008024077,0.0018858867,0.018841278,0.002891802
gg wp,0.056057423,0.0013454938,0.010955856,0.0024915566,0.0250085,0.0037742103
end,0.029429328,0.0007606761,0.005545208,0.0013747999,0.013465722,0.002155968
End,0.029429328,0.0007606761,0.005545208,0.0013747999,0.013465722,0.002155968
wow !,0.1938091,0.0039631566,0.043051668,0.0073379795,0.081182644,0.011399451
Dont wow me,0.29414907,0.00586691,0.07149836,0.011039466,0.124690555,0.017568866
my team just noob,0.044683516,0.0011320977,0.008597206,0.0020949815,0.020304225,0.0031467825
chill dude,0.49693638,0.010852144,0.15189552,0.018209634,0.22045606,0.03144514
just by looking at your set you are pro dude,0.29670793,0.0052492437,0.068014815,0.00966311,0.1200976,0.01662518
lol,0.20061268,0.004136279,0.044791315,0.007656837,0.08456356,0.011706236
end,0.029429328,0.0007606761,0.005545208,0.0013747999,0.013465722,0.002155968
wp,0.056057423,0.0013454938,0.010955856,0.0024915566,0.0250085,0.0037742103
wp,0.056057423,0.0013454938,0.010955856,0.0024915566,0.0250085,0.0037742103
CUZ THEY GOT VOID,0.15660162,0.0033931725,0.03397745,0.006359297,0.06723886,0.009528487
fucking dogs,0.9937171,0.2761875,0.96227187,0.04141143,0.855975,0.14554755
game,0.023195935,0.00062788004,0.004334374,0.0011304688,0.010886897,0.0017849513
un rato,0.04069892,0.0010119057,0.0077815005,0.0018361091,0.018342333,0.0028175428
one moment,0.033751316,0.00091643113,0.0063544502,0.0017121295,0.015886817,0.002540102
000000000-5   NICE FEDD,0.0807461,0.001928955,0.016207524,0.0035876245,0.035746753,0.0052063293
lol,0.20061275,0.0041362774,0.044791296,0.0076568406,0.08456356,0.011706231
NICE FEDDDD,0.0807461,0.001928955,0.016207524,0.0035876245,0.035746753,0.0052063293
END PLS ,0.029429328,0.0007606761,0.005545208,0.0013747999,0.013465722,0.002155968
FUCK   SK,0.99269366,0.25759593,0.9565781,0.041219115,0.84497494,0.14285128
turn off ur map hacks,0.08700341,0.0014925096,0.016530463,0.0025357904,0.03224795,0.0048461803
1 vs 0,0.028181149,0.00074184017,0.0052752625,0.0013374934,0.012977793,0.0020804836
1 vs 9,0.028181149,0.00074184017,0.0052752625,0.0013374934,0.012977793,0.0020804836
todo mi team,0.044683516,0.0011320977,0.008597206,0.0020949815,0.020304225,0.0031467825
REPORT PLS ,0.050478917,0.0012775334,0.0099045,0.0023525804,0.02294594,0.0034952727
NICE SK,0.0807461,0.001928955,0.016207524,0.0035876245,0.035746753,0.0052063293
REPORT TORO,0.050478917,0.0012775334,0.0099045,0.0023525804,0.02294594,0.0034952727
commend team,0.044683527,0.0011320971,0.008597206,0.0020949815,0.02030422,0.0031467795
im suprised you havnt left already bristle,0.15902169,0.0029399737,0.03270925,0.005391053,0.063543364,0.009009259
yes when u die 21 timkes,0.81843704,0.025904711,0.40590194,0.024854815,0.4099611,0.053047005
times,0.042630177,0.0010580911,0.008094056,0.0019345105,0.019246493,0.002978398
idiot,0.9606549,0.09799287,0.79032683,0.03650165,0.6618454,0.10032979
report,0.050478917,0.0012775334,0.0099045,0.0023525804,0.02294594,0.0034952727
21 death,0.15135427,0.003222178,0.03237352,0.0059911427,0.06409325,0.009075658
is it olympic games?,0.0630051,0.0015932886,0.012375798,0.0030036662,0.028538328,0.004278637
commend me you mean?,0.05918705,0.0014472977,0.0115509285,0.0027135825,0.026649304,0.003994689
gg wp,0.056057423,0.0013454938,0.010955856,0.0024915566,0.0250085,0.0037742103
report bristle,0.050478917,0.0012775334,0.0099045,0.0023525804,0.02294594,0.0034952727
"Ez mid ,ez game",0.023195935,0.00062788004,0.004334374,0.0011304688,0.010886897,0.0017849513
wait a lit pl,0.054576106,0.0013506577,0.010627819,0.0025013695,0.024540495,0.0037378538
good push guys < 3,0.13642031,0.0027735904,0.027828211,0.0051809195,0.056446936,0.008111654
gg wp,0.056057423,0.0013454938,0.010955856,0.0024915566,0.0250085,0.0037742103
WHAT THE ACTUAL FUCK,0.9884375,0.1644728,0.9305045,0.031514753,0.79945546,0.11284623
THIS IS FUCKING RETARad,0.9937171,0.2761875,0.96227187,0.04141143,0.855975,0.14554755
skoro v 5,0.032149293,0.0008125238,0.006053068,0.0014703304,0.014601133,0.0023062385
report void,0.050478917,0.0012775334,0.0099045,0.0023525804,0.02294594,0.0034952727
liga o hard,0.0853258,0.0019646175,0.016697045,0.0037799142,0.037442073,0.0055521284
okay ,0.041699417,0.0010601064,0.008003033,0.0019448495,0.018984638,0.0029421565
wp,0.056057423,0.0013454938,0.010955856,0.0024915566,0.0250085,0.0037742103
wp,0.056057423,0.0013454938,0.010955856,0.0024915566,0.0250085,0.0037742103
wp,0.056057423,0.0013454938,0.010955856,0.0024915566,0.0250085,0.0037742103
dude,0.49693638,0.010852144,0.15189552,0.018209634,0.22045606,0.03144514
guys wtf is up,0.21981758,0.0045393645,0.050094783,0.008440393,0.09238109,0.012896893
china fire wall ?,0.04663999,0.0011204649,0.008713529,0.0021007694,0.020600794,0.0032068945
taking turns? :D,0.04506107,0.001097401,0.008446306,0.0020353934,0.01996602,0.003109666
report sf pleae,0.050478917,0.0012775334,0.0099045,0.0023525804,0.02294594,0.0034952727
u have not rs luna,0.67093396,0.018659336,0.25525224,0.023428755,0.30667442,0.043189876
lol,0.20061275,0.0041362774,0.044791296,0.0076568406,0.08456356,0.011706231
report sf pleeaes,0.050478917,0.0012775334,0.0099045,0.0023525804,0.02294594,0.0034952727
lol pang,0.20061275,0.0041362774,0.044791296,0.0076568406,0.08456356,0.011706231
lol bug,0.20061275,0.0041362774,0.044791296,0.0076568406,0.08456356,0.011706231
lol,0.20061275,0.0041362774,0.044791296,0.0076568406,0.08456356,0.011706231
please report sf ,0.050478917,0.0012775334,0.0099045,0.0023525804,0.02294594,0.0034952727
lol,0.20061275,0.0041362774,0.044791296,0.0076568406,0.08456356,0.011706231
u tebta,0.67093396,0.018659336,0.25525224,0.023428755,0.30667442,0.043189876
v noru,0.032149293,0.0008125238,0.006053068,0.0014703304,0.014601133,0.0023062385
go 1 vs 1 v mude,0.016619373,0.0004889691,0.0030683256,0.00086642004,0.007914181,0.0014042825
lol,0.20061275,0.0041362774,0.044791296,0.0076568406,0.08456356,0.011706231
DIE,0.837725,0.03685879,0.45432827,0.030076047,0.43734103,0.06361795
new year na magbagoi na kayo ,0.02484564,0.0006752663,0.0045759818,0.0012357221,0.011440364,0.0019514924
lol,0.20061275,0.0041362774,0.044791296,0.0076568406,0.08456356,0.011706231
i will commend u sniper if u commend me too,0.85163784,0.041764967,0.4729966,0.03400736,0.45427865,0.06728122
lol ,0.20061275,0.0041362774,0.044791296,0.0076568406,0.08456356,0.011706231
IDIOT,0.9606549,0.09799287,0.79032683,0.03650165,0.6618454,0.10032979
why run,0.0964942,0.0022600375,0.01983335,0.0043064114,0.04279065,0.0062154047
report,0.050478917,0.0012775334,0.0099045,0.0023525804,0.02294594,0.0034952727
team,0.044683516,0.0011320977,0.008597206,0.0020949815,0.020304225,0.0031467825
prosto report ,0.050478917,0.0012775334,0.0099045,0.0023525804,0.02294594,0.0034952727
wait,0.054576132,0.0013506571,0.010627814,0.0025013671,0.024540495,0.0037378555
so whats ur new year resolutioin,0.09445255,0.0017031602,0.017963098,0.0029921331,0.035723835,0.0055276738
Can you guys deni mid tower,0.21981758,0.0045393645,0.050094783,0.008440393,0.09238109,0.012896893
end ,0.029429328,0.0007606761,0.005545208,0.0013747999,0.013465722,0.002155968
wow gyro got aghas,0.20742843,0.00429568,0.047013402,0.008058248,0.08779464,0.012524523
end,0.029429328,0.0007606761,0.005545208,0.0013747999,0.013465722,0.002155968
report gryo ?,0.050478917,0.0012775334,0.0099045,0.0023525804,0.02294594,0.0034952727
